State,Lat,Lon,GHCN_ID,City/Station Name,County,Elev,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb
AL,30.68,-87.87,US1ALBW0058,SPANISH FORT 1.2 NE,BALDWIN,154,M,0,0,0,M,M,M,0,M,0,M,M,M,0,0,M,0,M,0,0,0,M,0,0,0,0,0,M
AL,30.5,-87.74,US1ALBW0085,SUMMERDALE 2.7 WNW,BALDWIN,92,M,0,0,0,M,M,M,0,M,0,M,M,M,M,M,M,0,M,0,0,0,M,0,0,0,0,M,M
AL,31.88,-85.58,US1ALBR0006,CLAYTON 7.8 W,BARBOUR,437,M,0,0,0,M,M,0,0,M,M,M,M,M,0,M,M,0,M,M,0,0,M,0,0,0,0,M,M
AL,34.23,-86.48,US1ALBL0021,ARAB 7.0 S,BLOUNT,975,0,M,0,0,M,0,M,0,0,0,M,M,M,0,M,M,M,M,0,0,0,M,M,0,0,M,M,M
AL,34.09,-86.61,US1ALBL0006,BLOUNTSVILLE 1.3 NW,BLOUNT,706,M,M,0,0,M,0,M,0,0,0,M,M,M,M,M,T,M,M,0,0,0,M,0,0,0,M,M,M
AL,33.94,-86.46,US1ALBL0009,ONEONTA 0.9 SE,BLOUNT,928,M,0,0,0,M,0,M,M,0,0,0,M,M,M,M,M,M,M,0,0,0,M,M,0,0,M,M,M
AL,33.92,-86.35,US1ALBL0013,ONEONTA 7.5 ESE,BLOUNT,1376,T,0,0,0,M,0,M,0,0,0,M,M,M,M,M,0.3,M,M,0,0,0,M,0,0,0,M,M,M
AL,33.8,-86.56,US1ALBL0005,SPRINGVILLE 5.3 WNW,BLOUNT,1070,M,M,0,0,M,M,M,0,0,0,0,M,M,M,M,0.4,M,M,0,0,0,M,M,0,0,M,M,M
AL,33.76,-85.82,US1ALCN0008,WEAVER 0.7 NW,CALHOUN,698,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,T,T,M,M,M,M,M,M,M,M,M,M,M
AL,32.82,-86.6,USC00011694,CLANTON,CHILTON,590,0,0,0,0,M,0,M,0,M,0,0,M,M,0,M,M,0,M,0,0,0,M,0,0,0,0,0,0
AL,32,-88.29,US1ALCW0001,TOXEY 6.0 N,CHOCTAW,367,0,0,0,0,M,M,M,0,M,0,M,M,M,0,0,M,0,M,0,0,0,0,0,0,0,0,0,M
AL,31.71,-87.78,US1ALCK0009,GROVE HILL 0.4 NNW,CLARKE,502,M,0,0,0,M,M,M,M,M,M,M,M,M,M,M,M,0,M,0,M,M,M,M,0,0,M,M,M
AL,31.64,-87.85,US1ALCK0003,GROVE HILL 6.1 SW,CLARKE,246,0,0,0,0,M,M,M,0,M,0,M,M,M,M,M,M,M,M,0,0,0,M,0,0,0,0,0,M
AL,31.84,-87.77,US1ALCK0010,THOMASVILLE 5.2 SSW,CLARKE,405,0,0,0,0,M,M,M,0,M,M,M,M,0,M,M,M,M,M,0,0,0,M,0,0,0,0,0,0
AL,31.3,-85.9,USC00012675,ENTERPRISE 4 W,COFFEE,337,0,0,0,0,0,0,M,0,0,0,0,0,0,M,M,0,0,0,0,0,M,0,0,0,0,0,M,M
AL,34.73,-87.65,US1ALCT0004,MUSCLE SHOALS 1.3 SSW,COLBERT,508,0,T,0,0,M,0,M,0,0,0,M,M,M,0,M,M,M,M,T,0,0,M,0,0,M,M,M,M
AL,34.76,-87.64,USC00015751,MUSCLE SHOALS WATER PLANT,COLBERT,540,0,0,0,0,0,0,T,0,0,0,0,0,0,0,T,T,0.2,4.5,0,0,0,0,0,0,0,0,0,0
AL,34.77,-87.68,US1ALCT0005,SHEFFIELD 1.3 ENE,COLBERT,548,M,0,0,0,M,0,M,0,0,0,M,M,0,0,M,0,0,0,0,0,0,M,0,0,M,M,M,M
AL,34.74,-87.71,US1ALCT0025,TUSCUMBIA 0.6 N,COLBERT,488,0,0,0,0,M,0,M,0,0,0,M,M,0,0,M,M,M,4.3,M,0,0,M,0,0,M,M,M,M
AL,34.69,-87.68,US1ALCT0010,TUSCUMBIA 3.1 SSE,COLBERT,489,0,0,0,0,M,0,M,0,0,0,M,0,0,0,0,0,M,M,M,M,M,M,0,0,M,M,M,0
AL,34.62,-87.79,US1ALCT0001,TUSCUMBIA 8.9 SW,COLBERT,775,M,0,0,0,M,0,M,0.1,0,0,M,M,M,0,M,0.1,M,M,M,M,M,M,0,0,0,M,M,M
AL,31.27,-87.12,US1ALCC0001,CASTLEBERRY 5.6 WSW,CONECUH,315,0,0,0,0,M,M,M,0,M,0,M,M,M,0,0,M,T,M,0,0,0,M,0,0,0,0,0,0
AL,31.42,-87.04,USW00053820,EVERGREEN MIDDLETON FIELD,CONECUH,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,32.82,-86.05,US1ALCS0003,ALEXANDER CITY 10.0 SW,COOSA,650,M,0,0,0,M,0,M,0,M,0,M,M,M,M,M,M,0,M,M,0,0,M,0,0,0,0,0,0
AL,32.8,-86.01,US1ALCS0007,ALEXANDER CITY 9.6 SSW,COOSA,489,M,0,0,0,M,0,M,0,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,0,M,0,M,0
AL,31.4,-86.61,US1ALCV0013,RED LEVEL 0.3 SW,COVINGTON,374,M,0,0,0,M,M,M,0,M,M,0,M,M,0,0,M,0,M,0,0,0,M,0,0,0,0,0,M
AL,34.04,-87,US1ALCM0001,BREMEN 3.9 NNW,CULLMAN,554,M,M,0,0,0,M,M,M,M,M,M,M,M,M,M,M,0,M,0,0,0,M,M,0,0,M,M,0
AL,34.17,-86.76,US1ALCM0003,CULLMAN 4.4 E,CULLMAN,778,0,0,0,0,M,0,M,0,0,0,M,M,M,M,M,0.3,0.2,M,M,0,0,M,M,0,0,M,M,0
AL,34.1,-86.93,US1ALCM0006,CULLMAN 7.5 SW,CULLMAN,562,M,0,0,0,M,0,M,0,0,M,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,M,M,M
AL,34.07,-86.74,US1ALCM0004,HANCEVILLE 1.6 E,CULLMAN,607,M,0,0,0,M,M,M,0,0,0,M,M,M,M,M,M,1,M,M,0,0,M,0,0,0,M,M,M
AL,34.07,-86.79,USC00013655,HANCEVILLE,CULLMAN,590,0,0,0,0,0,0,0,0,0,0,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,34.29,-86.57,USC00014280,JOPPA 1SW,CULLMAN,1029,0,0,0,0,0,0,0,0,0,0,0,0,T,0,T,0.1,T,T,0,0,0,0,0,0,0,0,0,0
AL,34.17,-86.81,USC00017157,SAINT BERNARD,CULLMAN,800,0,0,0,0,0,0,0,0,0,0,0,0,T,T,T,0.6,T,0,0,0,0,0,0,0,0,0,0,0
AL,31.3,-85.79,US1ALDL0011,ENTERPRISE 3.8 ESE,DALE,342,M,0,0,0,M,M,M,0,M,M,M,M,M,M,M,M,0,M,M,0,0,M,M,0,0,0,M,0
AL,32.4,-87.05,US1ALDS0001,SELMA 1.5 WSW,DALLAS,151,M,0,0,0,M,M,M,M,M,M,M,M,M,0,0,M,0,M,0,0,0,M,0,0,0,0,0,0
AL,32.41,-87.01,USC00017366,SELMA,DALLAS,147,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,T,M,M,M,M,M,M,M,M,M,M,M,M
AL,34.21,-86.08,US1ALDK0019,BOAZ 4.6 E,DEKALB,1081,0,M,M,0,M,M,M,M,0,M,M,M,M,M,M,M,0,M,M,M,0,M,M,0,0,M,M,M
AL,34.81,-85.6,US1ALDK0017,FLAT ROCK 6.3 ENE,DEKALB,1617,M,M,0,0,M,0,M,0,0,0,M,M,M,M,M,M,M,M,M,0,0,M,M,0,0,M,M,M
AL,34.44,-85.72,US1ALDK0009,FORT PAYNE 1.4 WSW,DEKALB,900,M,M,0,0,M,0,M,M,M,0,M,M,M,M,M,M,M,M,M,M,0,M,M,0,0,M,M,M
AL,34.41,-85.72,US1ALDK0020,FORT PAYNE 3.4 SSW,DEKALB,1513,M,M,0,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M
AL,34.44,-85.72,USC00013043,FORT PAYNE,DEKALB,917,0,T,0,0,0,0,0,0,0,M,0,0,0,0,0,T,T,0,0,0,0,0,0,0,0,0,0,0
AL,34.29,-85.97,USC00017207,SAND MT SUBSTATION,DEKALB,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,T,0,0,0,0,0,0,0,0,0,0,0
AL,34.53,-85.76,US1ALDK0008,SYLVANIA 3.4 ESE,DEKALB,1302,M,M,0,0,M,0,M,M,0,0,M,M,M,M,M,M,M,M,M,0,0,M,M,0,M,M,M,M
AL,34.57,-85.61,USC00018469,VALLEY HEAD,DEKALB,1121,M,M,M,M,M,T,T,M,M,M,M,M,M,M,M,M,T,M,M,M,M,M,M,M,M,M,M,M
AL,32.51,-86.39,US1ALEL0024,MILLBROOK 1.7 NW,ELMORE,384,M,0,0,0,M,0,M,0,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,0,0,0,0,M
AL,32.55,-86.38,US1ALEL0004,MILLBROOK 4.0 NNW,ELMORE,394,0,0,0,0,M,M,M,0,M,M,M,M,M,M,M,T,T,M,M,0,0,M,0,0,0,0,M,M
AL,32.57,-86.29,US1ALEL0022,WETUMPKA 5.4 WNW,ELMORE,193,M,0,0,0,M,M,M,0,M,M,M,M,M,M,M,M,0,M,M,0,0,M,0,0,0,0,M,0
AL,32.68,-86.14,US1ALEL0018,WETUMPKA 9.9 NNE,ELMORE,563,0,0,0,0,M,0,M,0,M,M,M,M,M,0,M,M,M,0,M,0,0,M,0,0,0,0,M,0
AL,31.06,-87.17,US1ALES0001,POLLARD 2.4 N,ESCAMBIA,171,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,0,0,M,M,0,0,0,0,M,M
AL,34.02,-85.99,USC00013154,GADSDEN,ETOWAH,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,33.96,-86.06,US1ALET0007,RAINBOW CITY 2.8 NNE,ETOWAH,556,0,0,0,0,M,0,M,0,0,0,0,M,0,M,M,0.1,0.1,M,0,0,0,M,M,0,0,M,M,M
AL,33.78,-87.83,US1ALFY0010,FAYETTE 5.6 N,FAYETTE,549,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,0,0,0,0,0,0,M,M,0
AL,33.71,-87.82,USC00012883,FAYETTE,FAYETTE,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,34.51,-87.73,USC00017131,RUSSELLVILLE NO 2,FRANKLIN,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0.1,4,0.1,0,0,0,M,0,0,M,0,0
AL,31.04,-85.87,USC00013251,GENEVA NO 2,GENEVA,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,31.12,-86.05,US1ALGV0005,SAMSON 0.4 NNW,GENEVA,199,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,0,0,0,0,M,M
AL,31.36,-85.34,USC00013761,HEADLAND,HENRY,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,31.19,-85.37,USC00012377,DOTHAN,HOUSTON,275,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0
AL,31.09,-85.46,US1ALHS0013,REHOBETH 2.1 SSW,HOUSTON,239,M,0,0,0,M,M,M,0,M,M,M,M,M,M,M,M,0,M,M,0,0,0,M,0,0,0,0,0
AL,34.98,-85.8,USC00011099,BRIDGEPORT 5 NW,JACKSON,664,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0
AL,34.69,-85.88,US1ALJC0016,PISGAH 1.8 W,JACKSON,1280,M,M,0,0,M,0,0.5,0,0,0,M,M,M,M,M,M,0.9,M,M,0,0,M,M,0,0,M,M,M
AL,34.7,-86.1,US1ALJC0009,SCOTTSBORO 4.6 NW,JACKSON,636,T,T,0,M,M,M,M,0,M,0,M,M,M,M,M,0.3,T,M,0,0,0,M,M,0,0,M,M,M
AL,34.67,-86.05,USC00017304,SCOTTSBORO,JACKSON,615,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
AL,34.73,-86.21,US1ALJC0012,WOODVILLE 8.0 NNE,JACKSON,1519,T,T,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.2,T,0,0,0,0,0,0,0,0,0,0,0
AL,33.7,-86.53,US1ALJF0024,ARGO 1.5 NW,JEFFERSON,864,M,0,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,0,0,M,0,0,0,M,M,M
AL,33.38,-86.98,US1ALJF0037,BESSEMER 1.0 WNW,JEFFERSON,542,M,0,0,0,M,0,M,0,0,0,M,M,M,M,M,T,0.2,M,0,0,0,M,M,0,0,M,M,0
AL,33.4,-87.01,USC00010764,BESSEMER 3 WSW,JEFFERSON,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,33.57,-86.75,USW00013876,BIRMINGHAM AP,JEFFERSON,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,T,T,0,0,0,0,0,0,0,0,0,0,0
AL,33.62,-86.65,US1ALJF0070,CENTER POINT 2.1 SE,JEFFERSON,985,M,0,0,0,M,M,M,0,0,0,M,M,M,M,M,M,M,M,0,0,0,M,M,0,0,M,0,M
AL,33.47,-87.02,US1ALJF0069,CONCORD 0.4 ESE,JEFFERSON,594,0,0,0,0,M,0,M,0,0,M,M,M,M,M,M,M,M,M,M,M,0,M,M,0,0,M,M,M
AL,33.49,-86.89,US1ALJF0025,FAIRFIELD 1.8 NE,JEFFERSON,623,0,0,0,0,M,0,0,0,0,0,M,M,0,M,M,0.8,0.2,M,0,0,0,0,0,0,0,0,0,M
AL,33.4,-86.84,US1ALJF0047,HOOVER 1.9 NW,JEFFERSON,886,M,0,0,0,M,0,M,0,0,0,M,M,M,0,M,0.1,1.1,M,0,0,0,M,M,0,0,0,M,M
AL,33.42,-86.84,US1ALJF0073,HOOVER 3.4 NNW,JEFFERSON,941,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.1,M,M,M,M,M,M,M,M,M,M,M,M
AL,33.45,-87.02,US1ALJF0054,HUEYTOWN 1.4 NW,JEFFERSON,530,0,0,0,0,M,0,M,M,M,0,M,M,M,0,M,M,M,M,0,0,0,M,M,M,0,0,M,0
AL,33.52,-86.55,US1ALJF0074,LEEDS 1.8 SSE,JEFFERSON,770,0,0,0,0,0,0,M,0,0,0,M,M,M,M,M,M,0,M,0,0,0,M,M,0,0,0,M,M
AL,33.51,-86.74,US1ALJF0057,MOUNTAIN BROOK 1.7 N,JEFFERSON,731,0,0,0,0,M,0,M,0,M,M,M,0,M,0,M,M,0,M,0,0,0,M,0,0,0,0,M,M
AL,33.65,-86.62,US1ALJF0053,TRUSSVILLE 1.8 NW,JEFFERSON,1024,M,0,0,0,M,0,M,0,0,0,M,M,M,0,M,0.2,M,M,M,0,0,M,M,0,0,M,M,M
AL,33.72,-86.59,US1ALJF0062,TRUSSVILLE 5.8 N,JEFFERSON,1055,M,M,0,0,M,0,M,0,0,0,M,M,M,M,M,M,0,M,M,0,0,M,M,0,0,M,M,M
AL,33.72,-86.56,US1ALJF0038,TRUSSVILLE 6.6 NNE,JEFFERSON,1142,0,0,0,0,M,0,M,M,0,0,M,M,M,M,M,M,0,M,0,0,0,M,M,M,0,M,M,M
AL,33.43,-86.76,US1ALJF0039,VESTAVIA HILLS 1.8 E,JEFFERSON,761,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M,0,M,M,M,M,M,M,M,M
AL,33.77,-88.1,US1ALLM0004,VERNON 1.1 NNE,LAMAR,349,M,0,0,0,M,0,M,0,M,0,M,M,M,0,M,M,M,M,0,0,0,M,0,0,M,M,M,M
AL,34.91,-87.88,US1ALLD0009,CLOVERDALE 6.6 WSW,LAUDERDALE,735,0,0,0,0,M,0,M,0,0,0,M,M,0,0,M,1.3,M,3.5,M,0,0,M,0,0,M,M,M,M
AL,34.85,-87.65,US1ALLD0047,FLORENCE 2.0 NNE,LAUDERDALE,593,M,0,0,0,M,0,M,M,0,0,M,M,M,0,0.2,M,M,5.5,M,0,0,M,0,0,M,M,M,M
AL,34.85,-87.71,US1ALLD0046,FLORENCE 2.8 WNW,LAUDERDALE,591,M,0,0,0,0,0,M,M,0,0,M,M,0,0,M,M,0,5,0,0,0,M,0,0,M,M,M,M
AL,34.84,-87.57,US1ALLD0025,FLORENCE 5.4 E,LAUDERDALE,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0.1,T,6,0,0,0,0,0,0,0,0,0,0
AL,34.91,-87.64,US1ALLD0045,FLORENCE 6.1 N,LAUDERDALE,690,0,0,0,0,M,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
AL,34.91,-87.81,US1ALLD0039,FLORENCE 9.9 NW,LAUDERDALE,607,M,0,0,0,M,M,0,0,0,0,M,M,0,0,M,M,0,4,0,0,0,M,0,0,M,M,M,0
AL,34.96,-87.37,USC00010260,LEXINGTON,LAUDERDALE,760,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0.5,0.3,T,4.8,0,0,0,0,0,0,0,0,0,0
AL,34.35,-87.25,US1ALLR0009,DANVILLE 10.6 WSW,LAWRENCE,889,M,0,0,0,M,0,M,0,0,0,M,M,M,0,M,M,M,M,M,0,0,M,M,0,0,M,M,M
AL,34.58,-87.21,US1ALLR0008,HILLSBORO 4.1 SSW,LAWRENCE,748,M,0,0,0,M,0,M,0,0,0,M,M,M,M,M,M,M,M,0,0,0,M,0,0,0,M,M,0
AL,34.49,-87.3,USC00015635,MOULTON 2,LAWRENCE,622,0,0,0,0,0,0,0,0,0,0,0,0,T,T,T,0.3,0.3,2.2,0,0,0,0,0,0,0,0,0,0
AL,34.5,-87.23,US1ALLR0007,MOULTON 3.1 ENE,LAWRENCE,670,M,M,0,0,M,M,M,0,0,0,M,M,M,0,0,M,M,2.6,0,0,0,M,M,M,0,M,M,M
AL,34.58,-87.11,US1ALLR0005,TRINITY 1.7 SW,LAWRENCE,791,0,0,0,0,M,0,M,0,0,0,M,M,M,0,M,M,M,3,0,0,0,M,0,0,0,M,M,0
AL,32.58,-85.49,US1ALLE0015,AUBURN 1.2 SSW,LEE,597,M,M,0,0,M,0,M,0,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,0,0,0,0,0
AL,32.63,-85.51,US1ALLE0017,AUBURN 2.9 NW,LEE,714,M,0,0,0,M,M,M,0,M,M,M,M,M,M,M,M,M,M,M,M,0,M,M,0,0,0,M,0
AL,32.53,-85.52,US1ALLE0018,AUBURN 4.6 SSW,LEE,446,M,0,0,0,M,0,M,0,M,M,M,M,M,M,M,M,M,M,0,0,0,M,M,0,0,0,0,0
AL,32.58,-85.59,US1ALLE0007,AUBURN 6.6 W,LEE,610,M,0,0,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,0,0,M,0
AL,32.72,-85.18,US1ALLE0016,VALLEY 6.1 S,LEE,720,M,0,0,0,M,M,M,0,M,M,M,M,M,M,M,M,0,M,M,0,0,M,M,M,0,0,M,0
AL,34.79,-86.95,US1ALLS0023,ATHENS 1.5 SE,LIMESTONE,690,0,0,0,0,M,0,M,0,0,0,M,M,M,M,M,M,0,M,0,0,0,M,0,0,0,M,M,M
AL,34.78,-87,US1ALLS0036,ATHENS 2.5 WSW,LIMESTONE,715,0,0,0,0,M,0,M,0,0,0,M,M,0,0,M,M,M,M,0,0,0,M,0,0,0,M,M,M
AL,34.79,-86.91,US1ALLS0019,ATHENS 2.7 E,LIMESTONE,669,0,0,0,0,M,0,M,0,0,0,M,M,M,0,0,M,0,M,0,0,0,M,M,0,0,M,M,M
AL,34.85,-87,US1ALLS0010,ATHENS 4.9 NNW,LIMESTONE,764,M,M,0,0,M,0,M,0,0,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,0,M,M,M
AL,34.78,-86.86,US1ALLS0034,ATHENS 5.4 E,LIMESTONE,719,0,0,0,0,M,0,M,0,0,0,M,M,M,0,M,M,M,4,0,0,0,M,0,0,0,M,M,M
AL,34.78,-86.95,USC00010390,ATHENS,LIMESTONE,689,T,0,0,0,0,0,0,0,0,0,0,0,T,T,T,T,3,T,0,0,0,0,0,0,0,0,0,0
AL,34.69,-86.88,USC00010655,BELLE MINA 2 N,LIMESTONE,603,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,4,0,0,0,0,0,0,0,0,0,0
AL,34.8,-86.83,US1ALLS0002,CAPSHAW 3.0 NW,LIMESTONE,735,0,0,0,0,M,0,M,0,M,0,M,M,M,M,0,M,M,4.5,0,0,0,M,0,0,0,M,M,M
AL,34.65,-86.95,USW00053852,DECATUR PRYOR FIELD,LIMESTONE,592,0,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0.5,4,0,0,0,0,0,0,0,0,0,0,0
AL,34.83,-87.17,US1ALLS0015,LESTER 10.5 S,LIMESTONE,604,M,M,0,0,M,0,M,0,0,0,M,M,M,M,M,M,M,4,M,0,0,0,M,0,M,M,M,M
AL,34.71,-86.81,US1ALLS0026,MADISON 3.2 W,LIMESTONE,702,0,M,0,0,M,0,M,0,0,0,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M
